2023-04-25 14:12:33.926 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 15:01:36.984 [http-nio-8080-exec-11] INFO  top.om1ga.rbac.service.impl.SysMenuServiceImpl - [SysMenuVO(name=仪表盘, url=/, type=0, openStyle=0, icon=DataBoard, authority=null, sort=0, createTime=Thu Apr 20 16:33:10 CST 2023, parentName=null), SysMenuVO(name=权限管理, url=, type=0, openStyle=0, icon=Lock, authority=, sort=1, createTime=Sun Apr 09 17:33:13 CST 2023, parentName=null), SysMenuVO(name=用户管理, url=/sys/user/index, type=0, openStyle=0, icon=User, authority=, sort=2, createTime=Sun Apr 09 17:33:13 CST 2023, parentName=null), SysMenuVO(name=商品管理, url=/goods/index, type=0, openStyle=0, icon=Goods, authority=null, sort=3, createTime=Tue Apr 18 20:12:43 CST 2023, parentName=null), SysMenuVO(name=订单管理, url=/order/index, type=0, openStyle=0, icon=ShoppingCart, authority=null, sort=4, createTime=Tue Apr 18 20:13:26 CST 2023, parentName=null), SysMenuVO(name=通知管理, url=/notice/index, type=0, openStyle=0, icon=Bell, authority=null, sort=5, createTime=Thu Apr 20 16:27:32 CST 2023, parentName=null), SysMenuVO(name=接口文档, url=/docs/index, type=0, openStyle=0, icon=Document, authority=null, sort=6, createTime=Sun Apr 09 17:33:13 CST 2023, parentName=null), SysMenuVO(name=登录日志, url=/log/login/index, type=0, openStyle=0, icon=Document, authority=, sort=7, createTime=Sun Apr 23 14:59:31 CST 2023, parentName=null)]
2023-04-25 15:11:16.631 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-25 15:11:16.633 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-25 15:11:23.718 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 15:11:23.756 [main] INFO  top.om1ga.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 13084 (D:\JavaPrograme\api-boot\api-server\target\classes started by 84508 in D:\JavaPrograme\api-boot)
2023-04-25 15:11:23.757 [main] INFO  top.om1ga.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 15:11:24.568 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 15:11:24.570 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 15:11:24.617 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31 ms. Found 0 Redis repository interfaces.
2023-04-25 15:11:25.256 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 15:11:25.265 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 15:11:25.266 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 15:11:25.266 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 15:11:25.403 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 15:11:25.403 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1611 ms
2023-04-25 15:11:27.329 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@726ef6aa, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6104691c, org.springframework.security.web.context.SecurityContextHolderFilter@58a7a58d, org.springframework.security.web.header.HeaderWriterFilter@565a6af, org.springframework.security.web.authentication.logout.LogoutFilter@21ffc00e, top.om1ga.security.filter.AuthenticationTokenFilter@7757a37f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c9975a8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3883031d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@195cbf5e, org.springframework.security.web.session.SessionManagementFilter@7b2dd35d, org.springframework.security.web.access.ExceptionTranslationFilter@3c5e4aac, org.springframework.security.web.access.intercept.AuthorizationFilter@58f97013]
2023-04-25 15:11:27.607 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 15:11:27.626 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 15:11:27.635 [main] INFO  top.om1ga.ServerApplication - Started ServerApplication in 4.216 seconds (process running for 5.0)
2023-04-25 15:11:38.582 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 15:11:38.582 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 15:11:38.583 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-25 15:11:39.518 [http-nio-8080-exec-12] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 383 ms
2023-04-25 15:11:59.860 [http-nio-8080-exec-22] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-25 15:12:00.070 [http-nio-8080-exec-22] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@34c7035f
2023-04-25 15:12:00.073 [http-nio-8080-exec-22] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
